word,meaning
aeciospore,: one of the spores arranged within an aecium in a series like a chain
aecium,: the fruiting body of a rust fungus in which the first binucleate spores are usually produced
aedeagus,: the intromittent organ of a male insect : phallus
Aedes,": any of a genus (Aedes) of mosquitoes including the vector of yellow fever, dengue, and other diseases"
aedicula,: a small structure used as a shrine : a niche for a statue
aedile,": an official in ancient Rome in charge of public works and games, police, and the grain supply"
aedility,: the office of an aedile
aedoeagus,: the intromittent organ of a male insect : phallus
aegagropila,: a ball of hair or a concretion found in the stomach of the goat and other ruminants
aegagropile,: a ball of hair or a concretion found in the stomach of the goat and other ruminants
aegagrus,: bezoar sense 2
Aegean,: of or relating to the arm of the Mediterranean Sea east of Greece
aegeriid,: of or relating to the clearwing moths (family Sesiidae synonym Aegeriidae)
Aegina,island and ancient state in southeastern Greece in the Saronic Gulf
Aeginetan,island and ancient state in southeastern Greece in the Saronic Gulf
aegirine,: acmite
aegirite,: acmite
aegis,: a shield or breastplate emblematic of majesty that was associated with Zeus and Athena
Aegisthus,: a lover of Clytemnestra slain with her by her son Orestes
Aegithalos,: a genus of titmice with very long tail feathers  � see long-tailed tit
Aegle,": a genus of thorny trees (family Rutaceae) of tropical Asia and western Africa with compound leaves, greenish white flowers, and orangelike fruits  � see bel"
Aegopodium,": a small genus of herbs (family Umbelliferae) native to the north temperate zone with compound leaves, white flowers, and smooth 5-angled fruits  � see goutweed"
aegyptilla,: a gem produced from a 2-layered agate usually cut so that one color is encircled by the other
aeluroid,: one of the Aeluroidea
Aeluroidea,": a superfamily of Carnivora comprising the cats, civets, hyenas, and related carnivorous mammals all distinguished from related forms by skull formations and by the absence or great reduction of the penis bone and Cowper's glands"
aelurophobe,: abnormal fear or loathing of cats
aelurophobia,: abnormal fear or loathing of cats
aeluropodous,: having feet with retractile claws (like those of a cat)
aenach,: an assembly in ancient Ireland for the promulgation of laws and for athletic contests
aeneolithic,: of or relating to a transitional period between the Neolithic and Bronze ages in which some copper was used
aeneous,: like brass in color and luster : greenish gold
Aeolia,ancient country of northwestern Asia Minor
Aeolian,: of or relating to Aeolus
Aeolic,: aeolian
Aeolicism,: an idiom or peculiarity of the Aeolic dialect
aeolid,: a nudibranch mollusk of the genus Aeolis
Aeolididae,: a family that is made up of nudibranchs that have many nematocysts obtained from the hydroids on which they feed and that is sometimes placed with related families in a superfamily (Aeolidoidea)
aeolina,: a very soft organ stop of mild string quality
aeoline,: a very soft organ stop of mild string quality
aeolipile,": an apparatus that was invented in the second century b.c. and is often called the first steam engine and that consisted essentially of a closed vessel (as a globe or cylinder) with one or more projecting bent tubes out of which steam is made to pass from the vessel, the action of the steam jets causing it to revolve"
Aeolis,ancient country of northwestern Asia Minor
Aeolism,: an idiom or peculiarity of the Aeolic dialect
aeolodicon,: a keyboard wind musical instrument similar to the harmonium
aeolodion,: a keyboard wind musical instrument similar to the harmonium
aeolomelodicon,: an aeolodicon with tube resonators attached to the reeds
aeolotropic,: anisotropic sense 1
aeolotropy,: anisotropy
aeon,: an immeasurably or indefinitely long period of time : age
aeonian,: lasting for an immeasurably or indefinitely long period of time
Aepyceros,: a genus of large African antelopes having the horns lyrate in the male  � see impala
Aepyornis,: elephant bird
Aequi,: a people of ancient Latium east of Rome
Aequian,": of, relating to, or characteristic of the Aequi people"
Aequiculi,: a people of ancient Latium east of Rome
aer,: air : atmosphere
aerate,": to supply or impregnate (something, such as the soil or a liquid) with air"
aeration,": to supply or impregnate (something, such as the soil or a liquid) with air"
aerator,: one that aerates
aerenchyma,: modified parenchymatous tissue having large intracellular air spaces that is found especially in aquatic plants where it facilitates gaseous exchange and maintains buoyancy
aerial,": of, relating to, or occurring in the air or atmosphere"
aerialist,: one who performs feats in the air or above the ground especially on the trapeze
aeriality,: the quality or state of being aerial : unsubstantiality
aerially,": of, relating to, or occurring in the air or atmosphere"
Aerides,: a genus of epiphytic orchids natives of tropical Asia having stiff 2-ranked leaves and white flowers in lateral clusters
aerie,: the nest of a bird on a cliff or a mountaintop
aeriferous,: containing or conveying air
aerification,: the act of aerifying or of aerating : the state of being aerified or aerated
aeriform,: having the nature of air : gaseous
aerify,: to infuse or force air into : aerate sense 2
aero,: of or relating to aircraft or aeronautics
Aerobacter,: a taxonomically invalid genus of aerobic gram-negative bacteria of the family Enterobacteriaceae whose species are now assigned to the genera Enterobacter and Klebsiella
aerobatic,: spectacular flying feats and maneuvers (such as rolls and dives)
aerobatics,: spectacular flying feats and maneuvers (such as rolls and dives)
aerobe,: an organism (such as a bacterium) that lives only in the presence of oxygen
aerobic,": living, active, or occurring only in the presence of oxygen"
aerobically,": living, active, or occurring only in the presence of oxygen"
aerobiological,": the science dealing with the occurrence, transportation, and effects of airborne materials (such as viruses, pollen, or pollutants)"
aerobiologically,": the science dealing with the occurrence, transportation, and effects of airborne materials (such as viruses, pollen, or pollutants)"
aerobiologist,": the science dealing with the occurrence, transportation, and effects of airborne materials (such as viruses, pollen, or pollutants)"
aerobiology,": the science dealing with the occurrence, transportation, and effects of airborne materials (such as viruses, pollen, or pollutants)"
aerobioscope,: an apparatus used to collect air for determination of its bacterial count
aerobiosis,: life in the presence of air or oxygen
aerobiotic,: life in the presence of air or oxygen
aerobiotically,: life in the presence of air or oxygen
aerobium,: aerobe
aerocamera,: a camera specially designed for aerial photography
aerocartograph,: an apparatus for making contour maps from aerial photographs
aerocraft,: aircraft
aerodrome,: airfield
aerodromics,: the science or art of flying aircraft
aerodynamic,: a branch of dynamics that deals with the motion of air and other gaseous fluids and with the forces acting on bodies in motion relative to such fluids
aerodynamical,: a branch of dynamics that deals with the motion of air and other gaseous fluids and with the forces acting on bodies in motion relative to such fluids
aerodynamicist,: one who specializes in aerodynamics
aerodynamics,: a branch of dynamics that deals with the motion of air and other gaseous fluids and with the forces acting on bodies in motion relative to such fluids
aerodyne,": a heavier-than-air aircraft (such as an airplane, helicopter, or glider)  � compare aerostat"
aeroembolism,: decompression sickness especially when caused by rapid ascent to high altitudes and resulting exposure to rapidly lowered air pressure
aerofoil,: airfoil
aerogel,": a light, highly porous solid formed by replacement of liquid in a gel (see gel entry 1 sense 1) with a gas so that the resulting solid is the same size as the original"
aerogenes,": of, relating to, or being bacteria of the genera Escherichia and Aerobacter"
aerogenic,: transmitted by or involving transmission by air
aerogenically,: transmitted by or involving transmission by air
aerogenous,: transmitted by or involving transmission by air
aerogeologist,: a specialist in aerogeology
aerogeology,: the study of geological features by aerial observation and aerophotography
aerogram,: air letter sense 2
aerograph,: meteorograph sense 1
aerographer,: one that sprays with an airbrush
aerographic,: meteorology
aerography,: meteorology
aerohydrous,: containing both air and water
aeroides,: a pale blue beryl
aerolite,: a stony meteorite
aerolithology,: the science that deals with meteorites
aerolitics,: the science that deals with aerolites
aerological,: of or relating to aerology
aerologist,: a specialist in aerology
aerology,: meteorology
aeromancy,: divination from the state of the air or from atmospheric substances
aeromarine,: of or relating to aerial navigation above sea or ocean
aeromechanics,: mechanics that deals with the equilibrium and motion of gases and of solid bodies immersed in them
aerometeorograph,: meteorograph
aerometer,: an instrument for ascertaining the weight or density of air or other gases
aerometric,: relating to measurement of the properties or contaminants of air
aeromotor,: an aircraft motor
aeronaut,: one who operates or travels in an airship or balloon
aeronautic,: a science dealing with the operation of aircraft
aeronautical,: a science dealing with the operation of aircraft
aeronautically,: a science dealing with the operation of aircraft
aeronautics,: a science dealing with the operation of aircraft
aeroneurosis,": a functional nervous disorder of flight personnel that is caused by emotional stress and characterized by physical symptoms (as restlessness, abdominal pains, and diarrhea)"
aerophagia,: the swallowing of air especially in hysteria
aerophagist,: one that swallows air
aerophagy,: the swallowing of air especially in hysteria
aerophane,: a fine silk gauze
aerophilatelic,: of or relating to airmail stamps and flown covers
aerophilatelist,: a specialist in aerophilately
aerophilately,: the collection and study of airmail stamps and flown covers
aerophile,: a lover of aviation
aerophobia,: fear or strong dislike of flying : aviophobia
aerophobic,: fear or strong dislike of flying : aviophobia
aerophone,": any of a class of musical instruments (such as a trumpet or flute) in which sound is generated by air as the primary vibrating medium : wind instrument  � compare chordophone, electrophone, idiophone, lamellophone, membranophone"
aerophor,: a device for supplying air to the mouth of a wind-instrument player by means of a pedal bellows so that tones may be indefinitely sustained
aerophotography,: photography from aircraft
aerophysical,: of or relating to aerophysics
aerophysics,: the physics of the air
aeroplane,: airplane
aeroscepsis,: the power possessed by certain animals of observing the quality of the air by means of special organs
aeroscepsy,: the power possessed by certain animals of observing the quality of the air by means of special organs
aeroscope,: an apparatus for collecting small particles and organisms suspended in the air
aerosiderite,: a meteorite composed chiefly of iron : siderite
aerosiderolite,: a meteorite composed of both stone and iron : siderolite
Aerosol,: a suspension of fine solid or liquid particles in gas
aerosol,: a suspension of fine solid or liquid particles in gas
aerosphere,: the body of air around the earth : atmosphere
aerostat,: a lighter-than-air aircraft (such as a balloon or blimp)  � compare aerodyne
aerostatic,: of or relating to aerostatics : pneumatic
aerostatical,: of or relating to aerostatics : pneumatic
aerostatics,: a branch of statics that deals with the equilibrium of gaseous fluids and of solid bodies immersed in them
aerostation,: the art or science of operating lighter-than-air aircraft  � compare aviation
aerotactic,: of or relating to aerotaxis
aerotaxis,: a taxis in which air or oxygen is the directive factor
aerotechnical,: of or relating to aeronautics
aerotherapeutics,: the treatment of disease by varying pressure or composition of air breathed by the patient
aerotherapy,: aerotherapeutics
aerotonometer,: an instrument for determining the partial pressures of gases in the blood
aerotropism,: response (as by bacteria) to changes in oxygen tension
aeruginous,: having the characteristics of or the color of verdigris
aerugo,: the rust of a metal and especially brass or copper : verdigris
aery,: having an aerial quality : ethereal
Aeschylean,525�456 b.c. Greek dramatist
Aeschynanthus,: a genus of East Indian ornamental woody epiphytic plants (family Gesneriaceae) having red or orange flowers and seeds that bear one bristle or hair at the apex and one or more at the base
Aeschynomene,": a genus of shrubs and herbs (family Leguminosae) widely distributed in warm regions and having jointed pods and pinnate and often sensitive leaves  � see sensitive joint vetch, sola"
Aesculaceae,: a family of shrubs and trees of the order Sapindales that are usually made a tribe of the family Hippocastanaceae or placed among the Sapindaceae  � compare aesculus
aesculaceous,: a family of shrubs and trees of the order Sapindales that are usually made a tribe of the family Hippocastanaceae or placed among the Sapindaceae  � compare aesculus
Aesculapian,: of or relating to Aesculapius or the healing art
Aesculapius,: physician
Aesculus,": a genus of trees and shrubs (family Hippocastanaceae) found in north temperate regions with palmately divided leaves, showy flowers in ample panicles, and large shiny seeds  � see buckeye, horse chestnut"
Aesopian,": of, relating to, or characteristic of Aesop or his fables"
Aesopic,": of, relating to, or characteristic of Aesop or his fables"
aesthete,: one having or affecting sensitivity to the beautiful especially in art
aesthetic,": of, relating to, or dealing with aesthetics or the beautiful"
aesthetical,": of, relating to, or dealing with aesthetics or the beautiful"
aesthetically,": of, relating to, or dealing with aesthetics or the beautiful"
aesthetician,: a specialist in aesthetics (see aesthetic entry 2 sense 1)
aestheticism,: a doctrine that the principles of beauty are basic to other and especially moral principles
aestheticize,: to make aesthetic
aesthetics,": of, relating to, or dealing with aesthetics or the beautiful"
aesthiology,:  esthesiophysiology
aesthophysiology,:  esthesiophysiology
aethalioid,: resembling or belonging to an aethalium
aethalium,: a sessile flat encrusted fruiting body in several genera of the slime molds (class Myxomycetes) formed by the fusion of many plasmodia
Aethionema,": a genus of herbs (family Cruciferae) found in the Mediterranean region that have sessile glaucous leaves, some being cultivated for their white or rose-colored flowers"
aethrioscope,: an instrument consisting in part of a differential thermometer for measuring changes of temperature produced by different conditions of the sky
Aetolian,region of west central Greece north of the Gulf of Patras and east of Acarnania
aetosaur,": any of an order or suborder (Aetosauria) of extinct, chiefly herbivorous, armored reptiles that lived during the late Triassic period and had a long, narrow body, a small head, and a flat, piglike snout"
Aetosaurus,": a genus of small, extinct aetosaurs that lived during the late Triassic period"
aface,: a face that looks very angry
afaint,: fainting
Afar,": from, to, or at a great distance"
afar,": from, to, or at a great distance"
afara,: limba entry 2
afear,: frighten
afeard,: afraid
afeared,: afraid
afebrile,: not marked by or having a fever
afernan,: a desert shrub (Euphorbia balsamifera) native to the Canary islands that has leaves at the ends of the branches and inconspicuous yellow flowers
affability,: being pleasant and at ease in talking to others
affable,: being pleasant and at ease in talking to others
affableness,: the quality or state of being affable
affably,: in a friendly and affable manner
affair,": commercial, professional, public, or personal business"
affect,: to produce an effect upon (someone or something):
affectable,: to produce an effect upon (someone or something):
affectate,: affect entry 2 sense 1
affectation,: speech or conduct not natural to oneself : an unnatural form of behavior meant especially to impress others
affected,: having or showing an attitude or mode of behavior that is not natural or genuinely felt : given to or marked by affectation
affectedly,: having or showing an attitude or mode of behavior that is not natural or genuinely felt : given to or marked by affectation
affectedness,: having or showing an attitude or mode of behavior that is not natural or genuinely felt : given to or marked by affectation
affecter,: one that affects or loves (see affect entry 2 sense 4)
affecting,: evoking a strong emotional response
affectingly,: evoking a strong emotional response
affection,: a feeling of liking and caring for someone or something : tender attachment : fondness
affectional,: of or relating to the affections
affectionally,: of or relating to the affections
